NonLinearLinesClearedHeuristic SumOfHeightOfBlocksHeuristic SumOfHeightOfColumnsHeuristic BumpinessHeuristic HolesHeuristic BlockadesHeuristic Fitness
-.0483 -.9771 .4845 .7760 .3899 .5684 .0000
-.3584 -.7038 -.6063 -.1333 .7693 -.7829 .0000
-.4480 .9160 -.6846 -.9744 .3818 -.4365 .0000
-.1664 .1175 .6198 .5243 .6944 .2616 .0000
-.8100 .2807 .4951 -.6411 .8614 .6925 .0000
.7374 .0690 .4077 .4663 -.5020 .7602 .0000
.6465 .4401 .3358 -.4845 -.3592 -.9751 .0000
.3317 -.3852 -.2208 .1161 .9918 .4007 .0000
-.7402 .7694 -.9252 .5807 .9610 .4467 .0000
-.2400 .8363 -.4419 -.7809 .4203 -.9600 .0000
.1368 -.8637 .1480 .2636 -.6882 .3123 .0000
-.5200 -.2970 -.0486 -.6950 .1310 .8946 .0000
-.3330 -.1249 -.8561 -.0587 -.6797 .8662 .0000
.0203 .7904 -.6842 .0137 -.8958 .4284 .0000
.0722 .6873 .6487 .3180 -.6918 -.8945 .0000
-.9890 .9553 .5484 -.8870 .2842 -.2658 .0000
.1459 -.0906 .0762 .7696 -.3413 .9423 .0000
-.5967 .8019 -.5277 .4290 .6302 .5816 .0000
.1319 .2551 -.0351 .6359 .1019 .6420 .0000
-.2736 .6795 .9880 .7129 -.0997 .1323 .0000
-.4194 .7591 .2125 -.8241 -.6469 .8567 .0000
.7142 -.2816 .8594 .8064 .6679 -.5267 .0000
-.5253 .2100 -.8517 -.6285 -.6161 .5817 .0000
.5599 -.9015 .8071 -.8219 -.3479 .8130 .0000
.1646 .4708 .8744 .6316 .6916 -.6843 .0000
-.4904 .0052 .5799 -.3540 -.0207 .1558 .0000
.0030 .5818 -.6023 -.8933 -.0028 -.8345 .0000
.6599 .1917 .4472 .1849 -.3582 .7940 .0000
.1437 -.1005 .9208 .8680 .8395 -.4137 .0000
.1231 -.7302 .0785 .1799 -.3412 -.9656 .0000
.5178 .6844 -.6263 .1215 -.5145 -.3494 .0000
-.3171 .8585 .9964 -.8541 .3271 .3937 .0000
.6133 .3313 -.1848 -.6406 -.6980 -.6852 .0000
.9453 .7362 .3614 .9466 .2424 -.2857 .0000
.0542 -.8079 -.5536 .9248 -.1432 -.9599 .0000
-.7461 .5485 .3499 -.2009 .1255 .0074 .0000
.7368 -.9608 .1849 .6703 -.1310 .0238 .0000
-.2967 .2986 -.7141 -.7582 -.6427 .8727 .0000
-.8170 -.6990 .8156 -.4384 -.5391 -.5588 .0000
.9864 .8974 -.2619 -.8966 .9197 .5625 .0000
-.2009 .2141 .7543 .3743 .6556 -.7825 .0000
.5638 .1329 .9139 .7563 -.7816 -.1004 .0000
.0381 .5726 .7066 -.9201 -.7188 -.6017 .0000
.1640 .7708 -.2590 .3445 .5201 .2438 .0000
-.1940 -.2801 .5788 -.9957 -.4455 .7906 .0000
-.8039 .2440 .7365 .4429 .2587 -.4347 .0000
.5454 -.3506 -.9073 .3404 -.4691 .3819 .0000
-.1972 -.5886 .9364 -.6046 .7976 .4315 .0000
-.1811 -.5461 -.8043 .4813 -.6587 .6294 .0000
.9963 -.7237 -.7803 -.6406 .5621 .9526 .0000
.2234 .9317 -.6138 -.2127 -.6421 -.6747 .0000
-.0877 .7478 .2432 .1526 .7562 .8274 .0000
.0576 .4917 -.9924 .9987 -.0498 .6038 .0000
.1966 .0972 .8915 -.9034 .5576 -.1865 .0000
-.8319 -.1105 .6397 -.4939 -.8116 .2850 .0000
-.2093 -.4171 -.7348 -.6847 -.6219 .2320 .0000
.3145 -.2482 -.4797 .0227 -.7748 .3346 .0000
.5364 -.4293 -.3064 .6717 .1820 -.5127 .0000
-.9165 -.2537 .1500 -.9241 .3678 -.9773 .0000
-.8665 -.1662 .6781 -.5292 -.9055 .4554 .0000
-.6524 .7224 .0361 -.5427 .5977 .8104 .0000
.8561 -.6793 .1426 -.0221 .9033 -.3115 .0000
.0284 .0069 .6464 .9282 -.1816 -.3279 .0000
.4908 .3482 -.9612 .1456 -.8166 -.8070 .0000
-.1722 .2864 -.4268 -.9472 -.1969 -.2046 .0000
-.8902 -.5432 -.6443 -.3105 -.7564 -.2029 .0000
-.5983 .4748 -.2561 -.8648 .7677 -.3531 .0000
-.7554 -.9895 .5498 -.5651 .2108 .7687 .0000
-.6797 .1552 -.2295 .6636 .5566 -.7983 .0000
.6989 -.9096 .6682 -.9087 -.2597 .2271 .0000
.2537 -.7963 .0371 .5124 .8323 .3821 .0000
.8003 .9678 -.7501 -.2970 -.8442 .3714 .0000
.1813 -.7769 .1721 .8525 .5533 -.7734 .0000
-.8804 -.2322 -.5939 -.2627 -.6865 -.0412 .0000
-.3761 .8515 -.5497 -.7692 -.5490 .0049 .0000
-.4035 -.5253 -.3019 .5123 .1396 .7767 .0000
.1026 .2362 .2431 -.5495 .9284 .5950 .0000
-.5337 -.0032 -.9693 -.5932 -.6689 .2187 .0000
-.8815 -.1260 .2466 .0866 .3080 -.5490 .0000
-.7819 -.1255 -.0965 -.3802 -.3779 -.1081 .0000
.5158 .5996 -.8250 -.4899 .3693 .9183 .0000
.6440 -.9469 .2839 -.6531 -.3256 .8334 .0000
.4824 -.1190 -.9271 -.8580 -.8201 -.0511 .0000
.3768 .9457 -.7298 -.1968 .9162 .5247 .0000
-.9922 -.6741 .1610 .6136 -.6748 -.6315 .0000
.9764 .7962 .1171 .2141 -.8288 .2183 .0000
-.0258 -.1454 -.7377 .6992 .1791 -.6831 .0000
.4906 .7508 .9675 .9246 .8258 .9742 .0000
.3753 .5958 .9082 .1847 -.9871 -.7479 .0000
-.9740 -.4992 .1740 -.7480 -.7427 .4786 .0000
-.0829 .5232 .8882 -.1099 -.0890 .1613 .0000
.2210 -.4276 .5912 -.9509 -.0477 -.6448 .0000
.1841 .1801 -.0111 .2543 .6844 .3190 .0000
-.3870 -.4426 -.0582 -.4000 .3886 .7766 .0000
.1386 .8866 -.1167 .9852 .8997 .1071 .0000
-.3532 -.2222 -.6211 -.3147 .2982 -.3816 .0000
.3835 -.5210 .8343 -.6614 .1786 .1202 .0000
-.0321 .2503 .0649 -.3050 -.4798 -.6251 .0000
.5817 .9605 -.3491 .2233 .3122 .1164 .0000
.0933 .9603 .2176 .9247 -.0005 .3354 .0000
.5595 .8398 .8404 -.8971 -.1812 -.1834 .0000
.3130 -.6290 .0191 .1860 .3016 .1331 .0000
-.2028 .9563 -.0886 -.5610 .8164 -.6499 .0000
-.7825 -.2191 -.3297 .5306 -.3878 -.4618 .0000
.1953 .3048 -.7606 -.9590 .9590 .6497 .0000
.3512 .9412 -.2496 -.3741 -.5882 -.7882 .0000
-.4800 -.9268 .3060 -.5229 -.0301 .6491 .0000
-.2328 -.8340 .4924 .1548 .4903 -.8938 .0000
.2342 .1560 -.6362 -.7524 -.3005 -.0338 .0000
.1297 .4705 -.9126 -.9604 -.2849 .8149 .0000
-.4906 -.7378 .6711 .7333 .2970 -.9071 .0000
.9923 -.7805 .7558 -.2163 .5574 -.9507 .0000
-.3602 -.4059 .8240 -.0077 .7314 -.7363 .0000
.4856 -.1093 .0359 -.0142 -.2063 -.1092 .0000
.8562 .3047 -.8641 .3212 -.1050 .6948 .0000
-.3498 -.2557 -.4040 -.0791 .0595 .0230 .0000
.3174 -.4442 .0071 -.0236 -.8876 .2766 .0000
-.3186 -.0854 .3637 -.7464 .8298 -.0393 .0000
-.9951 .4048 .9309 .7829 .7187 .1556 .0000
-.4601 .5017 .6900 -.3453 .5576 .3838 .0000
.2172 .4234 -.5344 .3143 .0720 .8524 .0000
.2250 -.6552 -.9029 .1017 .7940 -.8493 .0000
.1520 .0511 -.8586 -.5765 .6603 -.4184 .0000
-.7640 .1485 .8214 .2409 -.9080 .4567 .0000
-.8329 .4448 .8508 .1268 .8976 -.3145 .0000
-.5000 .7704 -.4012 .0784 -.6847 -.3894 .0000
.5978 -.2138 .7239 .2409 -.8546 -.0758 .0000
-.5945 .7162 .7659 .2813 .4826 -.8492 .0000
-.5249 .2017 .9914 .1595 .9092 -.2805 .0000
-.7459 -.0513 .2451 .1742 -.5096 .6559 .0000
-.5071 .9758 .3295 .3177 -.0400 .6681 .0000
-.5647 -.1267 .3383 .4053 -.0093 -.7421 .0000
-.4834 -.8928 -.7407 .5270 .5290 -.0758 .0000
.2888 -.6339 -.7923 .6372 .9248 .7179 .0000
.9074 -.8769 -.3032 .0744 .9704 .0046 .0000
.9144 -.8249 .9957 .1371 -.5846 -.1080 .0000
.2346 .2295 -.9267 .6798 -.5207 -.2396 .0000
.6329 -.0321 -.1683 -.7491 -.8126 .5942 .0000
.6432 .6265 .4508 -.7881 .0575 .6469 .0000
-.3392 -.4235 -.0871 -.3173 .6501 -.3329 .0000
.6651 .0855 .9791 -.4841 -.9036 .8523 .0000
.4102 -.7840 -.0365 .1114 -.6429 -.1879 .0000
.6481 -.4818 -.3202 -.0477 .5880 .3279 .0000
-.5002 .0479 .5557 .4747 .4278 .8749 .0000
.8566 -.4279 -.6099 -.3324 .1160 -.3822 .0000
.2667 .6496 .2191 -.9565 -.5229 .8162 .0000
.2293 .4344 -.4736 .5880 -.1262 .5859 .0000
-.2285 -.4689 .0627 -.1081 .7936 -.8563 .0000
-.8467 -.8580 .2507 .5270 .0443 .2664 .0000
-.8731 -.8849 -.9980 -.9218 .6748 -.8031 .0000
-.1673 -.6975 -.7337 -.6467 -.7715 .4076 .0000
.2912 -.2285 -.7840 .0364 .8098 -.3608 .0000
-.7697 -.1161 -.5537 .9182 -.3232 .0828 .0000
.2708 -.6088 .7368 -.7908 .4699 -.5397 .0000
-.5696 .7987 -.9672 -.5582 -.8017 -.6744 .0000
-.0040 -.9418 .3981 .0006 -.2713 .5267 .0000
.3608 -.0725 -.4598 -.1770 -.4062 .5018 .0000
.7520 -.0535 .1144 .0360 .2796 -.5168 .0000
.4985 .3677 -.0040 -.0859 .0172 -.1074 .0000
-.9425 -.4171 -.4854 -.7688 -.7664 .3650 .0000
.7253 -.5007 -.8078 -.1458 .3468 -.9370 .0000
-.9420 .7443 -.3406 .7818 .7382 -.5828 .0000
-.1454 .0344 .9705 -.6637 -.5672 .6012 .0000
.5438 .1763 -.5027 .2341 -.7405 -.8152 .0000
.9091 -.0897 .9867 .8688 -.4207 -.1606 .0000
.8399 .8302 .9249 .3051 -.6611 -.6494 .0000
-.2458 .7921 -.8803 .8926 .0218 -.5223 .0000
.2629 -.4254 .6084 -.7755 -.9812 .0940 .0000
.4301 -.9162 -.5179 -.0155 -.9793 -.2877 .0000
-.3020 .9493 -.4676 -.2465 .3556 -.5173 .0000
.1384 .7385 .9498 .4103 -.5800 -.8994 .0000
-.3005 .2679 -.2196 .4166 .9396 .8864 .0000
.9766 -.5397 -.4340 -.3458 .3797 .8930 .0000
-.4728 -.7391 -.8586 -.9214 -.3141 .9976 .0000
-.0705 .9555 .8308 -.0344 .7569 -.8787 .0000
.1835 .0604 .8955 -.3449 .1748 .1090 .0000
.0430 .9767 .4384 -.6874 .0901 .8983 .0000
-.7788 .3865 -.0107 -.3840 .7041 .3172 .0000
-.8332 .4681 .3333 .8997 -.4436 -.1014 .0000
-.7271 .8052 -.2460 .4111 -.6577 -.7984 .0000
-.1763 -.8248 -.6679 -.9029 .9598 .2418 .0000
.0753 -.5059 -.8907 .4805 -.1820 .9509 .0000
-.5021 -.5682 .2864 .4543 -.6757 .2645 .0000
-.9829 -.1273 -.4599 .0627 .6323 -.6360 .0000
.9756 .3013 -.6257 -.0779 .4859 .1354 .0000
.9358 .1589 -.8470 -.9107 -.8504 .2779 .0000
.6959 -.0454 .3037 -.4547 -.6501 -.5626 .0000
.9738 .8199 .7592 .7646 -.6802 .3819 .0000
-.9210 -.8795 -.7923 .4114 -.4553 -.3175 .0000
.4059 .7430 .0198 -.2203 .9049 .2164 .0000
.0590 -.7249 .6674 -.6447 -.2073 -.1229 .0000
.1011 .8628 .4801 -.4487 -.8176 .9756 .0000
-.8684 .5425 -.6653 .6998 .9525 .9174 .0000
.8075 -.6883 .9243 -.0838 -.2008 -.3566 .0000
-.2386 .6546 .3624 -.3631 -.6967 -.4646 .0000
-.5396 -.9245 .4281 -.6538 -.2424 .5571 .0000
.1557 .2348 .8319 .7739 -.0736 -.4700 .0000
-.1380 -.5849 -.6319 .3126 -.3140 .0743 .0000
.9904 .6510 -.4921 -.1254 -.6560 -.5202 .0000
.4444 .8930 .1482 .4770 .8988 -.5284 .0000
-.8686 .8813 -.3766 -.7739 .9608 -.5482 .0000
.8872 .2649 .7118 .7273 .4745 -.2382 .0000
.3687 -.6979 -.8146 .0958 -.7113 -.9562 .0000
-.1527 -.8766 .8449 .1005 -.9952 -.4117 .0000
-.7267 .0668 -.8381 .0941 .1201 -.8002 .0000
-.7505 -.8864 .4690 -.9415 -.3432 .8510 .0000
-.6904 .6971 .0744 .8391 .4724 -.0853 .0000
.1008 -.6277 .3827 -.2005 -.1438 .6975 .0000
.8455 -.7862 -.3339 .0125 -.5200 -.6566 .0000
.9069 -.8786 -.4926 .0764 -.5058 .3264 .0000
.8791 .4001 -.6201 .1400 -.6545 -.0633 .0000
-.2270 .6682 .5507 -.7884 -.1011 -.8600 .0000
.6520 -.9077 .3131 .3239 .3927 .2555 .0000
-.7476 .8004 .4702 .3580 -.1104 .1513 .0000
.0264 -.6011 -.9355 -.2319 -.4329 .3453 .0000
.0348 .5632 .1688 -.3622 -.5323 .8564 .0000
-.2982 -.9358 .5957 -.2748 -.5953 -.5324 .0000
-.1678 .0014 -.5639 .3772 -.6507 -.3281 .0000
-.2749 -.7481 -.4094 -.7115 -.1696 -.7370 .0000
.1937 -.6690 .5489 .8637 -.6707 .0397 .0000
-.5127 .3837 .1476 .3605 -.1908 .7197 .0000
-.8985 .5978 .6744 .3558 -.2797 .6524 .0000
-.1663 .2609 -.8498 -.7462 .5941 .0969 .0000
-.1325 .5298 -.9979 .8122 .4476 -.0321 .0000
-.8101 -.6958 -.2082 .1532 .4659 .7875 .0000
.9188 -.2340 -.4397 -.4863 -.0379 -.7990 .0000
-.1076 -.9711 -.0136 -.3585 -.9111 .3150 .0000
-.0633 -.6705 .7885 .8645 -.3030 .2411 .0000
.9273 .1703 .0531 .4822 -.8326 -.7323 .0000
-.2837 -.3235 .6502 -.4904 .6481 .3878 .0000
-.4987 -.6029 -.3610 -.9353 .0854 -.7792 .0000
.1326 -.7229 .1575 .0228 .6845 -.8354 .0000
-.6294 .3393 -.5512 -.3186 -.6451 .3116 .0000
-.5827 .5534 -.7798 .3363 -.3886 -.9275 .0000
-.3753 .0389 -.2253 -.0761 .0716 -.0649 .0000
-.8542 .7506 .2189 -.8352 .6147 -.8144 .0000
.8485 -.5733 -.7529 .2369 -.2025 .5940 .0000
-.3842 .5580 -.7301 -.6857 -.5130 -.2141 .0000
-.6824 .0122 .0231 -.8541 -.7993 -.1541 .0000
-.3584 -.0282 .0609 -.1638 -.3035 .3246 .0000
.8436 .5466 -.5136 -.6712 -.6588 -.3960 .0000
-.0888 -.6471 .5023 -.0831 -.6367 -.1578 .0000
-.2005 .8843 .1037 .6771 -.3506 .8756 .0000
-.5200 .5363 -.3789 -.8618 -.5165 -.8002 .0000
-.5445 .7884 -.3003 .9013 -.0846 .6841 .0000
-.0933 -.8353 .0313 -.8668 .0701 -.6544 .0000
-.3176 .3598 .4684 .4925 .6649 .7220 .0000
-.9358 -.3636 -.0540 -.4871 .8008 .2450 .0000
-.9092 -.6462 -.2941 .1665 .1160 .8263 .0000
.6227 -.2734 .8133 -.4566 .5006 .8341 .0000
.8287 -.8795 .4417 -.9029 -.4475 .8350 .0000
-.8204 .2701 -.5460 -.8934 -.6705 -.2880 .0000
-.5173 -.8704 -.3872 .3530 -.4235 .7094 .0000
-.8830 .9163 .5016 -.5407 -.8966 .4554 .0000
-.1587 .7223 .7664 -.9966 -.4282 -.2867 .0000
-.8371 -.2024 .7370 .3791 .6772 -.8905 .0000
.7990 .7505 -.7836 .9326 .8746 -.1896 .0000
.5822 -.6066 -.5799 .3990 -.6868 .7829 .0000
.0273 -.6233 -.1620 .4835 -.9852 .1841 .0000
.6170 -.2562 .9862 .1164 .0619 -.7403 .0000
-.2891 -.8471 .4903 -.5653 -.4560 -.0033 .0000
.9091 .0249 .8686 -.3179 -.1916 -.0849 .0000
.8848 .2235 -.0948 -.5312 -.7042 .5329 .0000
-.4174 .1299 -.8186 -.8768 .0459 -.7307 .0000
-.1179 -.4748 .5669 -.5996 -.5998 -.1177 .0000
-.2197 -.9955 -.1469 -.1689 -.5553 .7568 .0000
-.4709 -.6523 -.5274 -.0757 .1994 .6864 .0000
.7071 -.7632 -.2140 .2850 -.9200 .9227 .0000
-.3487 -.7603 -.9949 .6305 .9209 -.0012 .0000
-.0591 -.5828 -.1271 .4484 -.0622 .9583 .0000
.1289 .1093 .1423 -.8655 -.7898 -.7731 .0000
.3465 .2580 .2946 -.0454 -.5407 .5592 .0000
.6256 .4286 -.9725 -.6998 .3562 -.7218 .0000
-.2109 .3924 -.3262 .2352 -.5137 .0980 .0000
-.8441 .8031 .1111 -.1600 -.1542 -.8799 .0000
.3538 .6303 -.3115 .6166 -.4161 -.5078 .0000
-.4490 .3214 .0557 -.4478 -.2741 .1557 .0000
-.4353 .0225 -.2016 .0383 .4509 .5669 .0000
.5612 -.8697 .3987 .7504 .2699 -.2047 .0000
.4975 .7363 -.5913 .4344 .7504 -.7490 .0000
-.7402 .6468 -.2516 .3466 .0481 .5797 .0000
-.3074 -.9395 -.8899 .3857 -.9501 -.0260 .0000
.0346 -.5525 .2037 -.4720 .4458 .3180 .0000
.5986 -.8481 .1514 .1978 -.6229 .7233 .0000
-.7628 .0836 -.0085 .5799 -.1182 .6373 .0000
-.9428 -.2746 .3893 .6612 .8416 -.7398 .0000
.6612 -.1142 .6776 .8213 .1124 .8343 .0000
.9016 .5930 1.0000 .1910 -.1598 .7062 .0000
.9716 -.6252 .4299 -.2883 .6757 .6868 .0000
.7221 .2600 .3995 .0701 .7647 -.4606 .0000
.9199 .9599 .0386 .0327 .3764 .0534 .0000
-.7860 .2728 .5918 -.5938 -.6918 -.5665 .0000
.2898 .6972 -.2311 .3681 -.2952 .1910 .0000
.8919 .6413 -.9044 -.2382 -.6590 .8762 .0000
.6755 -.6779 -.6957 .2974 -.8288 -.2426 .0000
.9407 .3628 .0512 -.6059 .8244 -.2540 .0000
